ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10892 5 11146 9 11401 10 11655 13 11910 14 12166 14 12421 15 12677 14 12933 14 13188 14 13444 14 13700 13 13957 11 14213 10 14470 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,27992 1 28248 3 28504 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31132 5 31388 5 31644 6 31900 6 32156 6 32412 6 32668 6 32925 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31630 9 31883 14 32138 15 32393 17 32648 19 32903 20 33159 20 33415 20 33670 20 33926 20 34182 19 34438 18 34695 15 34951 14 35208 12 35465 10 35724 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 5 38819 7 39073 9 39327 11 39582 12 39837 13 40093 13 40349 13 40605 13 40861 12 41117 12 41374 10 41630 10 41887 8 42144 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44851 2 45104 9 45358 12 45613 14 45868 15 46124 15 46380 14 46636 14 46893 12 47149 10 47407 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50024 5 50278 9 50533 12 50787 14 51042 16 51297 17 51553 17 51808 18 52064 18 52320 18 52576 17 52832 17 53088 17 53344 16 53601 14 53858 11 54116 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50842 4 51096 7 51350 10 51605 11 51860 12 52115 12 52370 13 52626 13 52881 13 53137 13 53392 13 53648 12 53904 11 54160 10 54417 8 54674 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84 11 602 13 1121 13 1641 11 2161 9 2682 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,125 27 644 28 1163 28 1682 28 2202 27 2722 26 3241 26 3761 25 4280 24 4800 23 5320 21 5840 20 6360 19 6880 17 7400 15 7920 14 8441 11 8963 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,165 18 683 20 1202 21 1722 20 2242 19 2761 19 3281 18 3800 20 4320 19 4839 20 5359 20 5879 19 6399 19 6918 19 7438 18 7957 18 8477 17 8996 16 9516 15 10036 13 10556 12 11076 11 11596 10 12116 8 12636 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,224 31 742 34 1261 34 1780 34 2300 32 2819 32 3338 32 3857 32 4376 33 4896 32 5415 32 5935 31 6454 30 6973 30 7493 29 8012 29 8531 29 9051 27 9570 27 10090 25 10610 24 11129 23 11649 21 12169 19 12688 18 13208 16 13728 13 14249 9 14770 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,328 14 845 18 1362 22 1880 24 2398 26 2916 27 3434 29 3952 31 4471 31 4990 31 5508 32 6027 32 6546 32 7066 31 7585 31 8105 30 8625 28 9145 27 9665 25 10186 23 10705 22 11223 22 11741 23 12259 24 12777 26 13296 27 13815 28 14333 29 14852 30 15371 30 15889 31 16408 31 16927 31 17446 31 17965 31 18484 31 19003 31 19523 30 20042 29 20561 29 21081 28 21600 27 22120 26 22640 24 23160 22 23680 20 24200 18 24720 16 25241 13 25763 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,397 24 915 25 1434 26 1953 26 2472 26 2992 24 3511 24 4030 24 4550 23 5069 23 5589 22 6110 19 6631 17 7151 15 7673 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,447 24 966 25 1485 25 2004 25 2524 24 3043 23 3562 23 4081 23 4601 22 5120 21 5640 20 6160 18 6679 17 7199 16 7719 14 8240 10 8760 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,499 21 1018 19 1537 18 2058 15 2579 11 3104 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,529 2 1047 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6796 9 7313 13 7831 15 8350 15 8378 6 8868 17 8895 10 9386 19 9414 10 9905 20 9933 11 10423 22 10451 13 10942 23 10969 15 11461 24 11487 16 11979 44 12498 44 13017 45 13536 45 14055 45 14574 46 15093 26 15121 18 15612 25 15641 17 16131 24 16161 17 16650 24 16681 16 17169 23 17200 16 17688 23 17720 16 18207 22 18239 16 18726 22 18759 15 19245 21 19278 16 19765 19 19798 15 20284 18 20317 15 20803 17 20836 15 21323 16 21356 14 21843 14 21875 14 22362 13 22395 13 22882 11 22914 13 23402 9 23434 11 23924 3 23954 10 24475 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,10241 7 10756 14 11273 18 11791 19 12309 21 12827 22 13345 24 13863 25 14381 26 14900 26 15418 27 15937 27 16455 28 16974 28 17493 28 18012 27 18531 27 19050 27 19568 27 20087 27 20606 27 21125 26 21644 25 22164 23 22683 23 23203 21 23723 19 24243 16 24763 14 25284 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20142 5 20657 12 21174 16 21691 19 22210 20 22728 22 23246 23 23764 25 24283 25 24802 25 25320 26 25839 26 26358 26 26876 27 27395 27 27913 28 28432 28 28951 27 29470 27 29988 28 30507 28 31026 27 31545 27 32064 26 32584 24 33103 24 33622 23 34141 21 34661 19 35181 16 35702 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20907 9 21425 12 21942 15 22460 17 22978 20 23482 6 23496 22 23999 10 24015 23 24516 16 24533 25 25035 42 25553 44 26072 44 26590 45 27109 46 27628 46 28147 46 28666 46 29185 47 29704 47 30223 47 30742 47 31261 47 31781 46 32300 46 32819 45 33339 44 33858 44 34378 23 34403 17 34898 20 34923 15 35418 19 35444 11 35938 18 35965 7 36458 17 36978 16 37498 15 38019 12 38541 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24167 10 24682 16 25199 20 25717 22 26235 24 26753 26 27271 27 27789 29 28308 29 28826 30 29345 30 29864 31 30382 32 30901 31 31420 31 31939 31 32457 32 32976 32 33495 32 34015 30 34534 30 35054 28 35573 27 36093 25 36612 25 37132 23 37652 21 38173 17 38694 12 39217 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24933 12 25449 17 25966 20 26483 23 27000 26 27518 27 28036 28 28554 30 29073 30 29591 31 30109 32 30628 32 31147 32 31666 32 32185 31 32704 31 33223 30 33742 30 34261 29 34780 29 35299 28 35819 25 36338 24 36858 21 37378 19 37898 17 38418 14 38940 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25899 12 26415 18 26931 23 27449 25 27481 8 27967 43 28485 46 29004 47 29523 48 30041 49 30560 50 31078 51 31597 51 32116 51 32635 52 33153 53 33672 53 34191 53 34709 53 35228 53 35747 53 36266 53 36785 53 37304 53 37823 53 38343 52 38862 51 39382 49 39902 17 39922 27 40423 13 40442 25 40944 10 40962 24 41465 5 41482 22 42002 19 42523 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28605 14 29121 19 29638 22 30155 25 30673 26 31191 27 31709 28 32228 28 32746 29 33264 30 33783 30 34301 30 34820 29 35339 29 35858 28 36376 28 36895 27 37413 27 37933 25 38452 23 38971 23 39490 22 40010 19 40530 17 41049 15 41570 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28787 8 29305 12 29823 16 30342 18 30860 21 31379 22 31898 23 32418 22 32937 23 33456 24 33975 24 34494 25 35014 24 35533 24 36052 25 36572 24 37091 24 37611 22 38130 22 38650 20 39169 20 39689 18 40209 16 40729 14 41249 12 41770 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,34996 3 35512 9 36029 12 36546 15 37064 17 37582 18 38101 19 38619 20 39138 21 39657 21 40175 22 40694 23 41212 24 41731 23 42249 24 42768 24 43287 24 43806 23 44325 23 44844 22 45363 22 45882 21 46402 19 46922 17 47443 13 47966 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,40308 2 40821 17 41338 22 41857 24 42375 27 42893 29 43412 30 43931 30 44449 31 44968 32 45486 33 46005 33 46524 33 47043 33 47562 32 48081 32 48600 31 49120 30 49639 30 50159 27 50679 25 51200 20 51721 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,45747 12 46262 19 46779 23 47297 26 47815 28 48333 30 48851 30 49370 30 49889 31 50408 31 50926 31 51445 31 51964 31 52483 31 53002 30 53522 28 54041 26 54561 24 55081 21 55602 16 56127 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46707 2 47225 5 47743 6 48262 6 48781 6 49299 7 49818 7 50337 7 50856 7 51374 8 51893 8 52412 8 52932 7 53452 6 53971 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47124 9 47638 16 48154 20 48671 23 49189 25 49707 27 50225 29 50744 30 51262 31 51781 31 52300 31 52819 31 53338 31 53858 30 54377 30 54896 30 55416 28 55936 26 56456 24 56977 20 57499 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47230 4 47749 5 48268 5 48787 5 49306 5 49825 6 50344 6 50362 6 50863 6 50880 9 51382 6 51399 9 51901 6 51918 10 52420 7 52437 11 52939 7 52955 13 53458 8 53475 12 53977 8 53993 14 54496 9 54512 15 55015 11 55030 16 55534 13 55548 18 56053 33 56572 33 57091 34 57610 34 58129 34 58648 34 59167 34 59686 34 60205 34 60724 35 61243 35 61762 34 62281 34 62800 34 63319 34 63838 33 64359 30 64878 30 65398 29 65917 29 66437 28 66957 28 67475 29 67993 31 68511 33 69028 36 69547 37 70066 37 70585 38 71104 39 71623 40 72142 41 72661 41 73180 42 73699 42 74218 43 74737 44 75256 5 75264 36 75775 4 75787 33 76294 4 76309 30 76815 2 76829 29 77334 2 77349 28 77853 2 77882 14 78372 1 78403 10 78891 2 79408 4 79927 5 80446 10 80965 11 81484 12 82003 14 82522 15 83041 17 83560 17 84079 18 84598 19 85117 20 85636 20 86155 21 86676 20 87196 19 87715 18 88237 16 88756 16 89276 15 89796 14 90317 13 90836 14 91356 13 91874 14 92395 13 92913 16 93433 20 93953 20 94472 21 94991 21 95511 20 96030 20 96550 19 97069 20 97588 20 98107 20 98627 20 99146 21 99666 20 100185 20 100705 20 101224 21 101743 22 102261 24 102781 23 103300 23 103820 23 104339 23 104859 22 105378 23 105898 22 106418 22 106939 21 107459 21 107981 19 108503 17 109024 16 109545 16 110066 15 110586 16 111106 15 111625 15 112146 13 112666 11 113187 10 113707 10 114226 10 114747 8 115266 9 115786 9 116306 8 116826 8 117346 8 117866 8 118385 8 118905 8 119425 8 119945 8 120464 8 120984 8 121503 10 122023 9 122542 10 123062 10 123581 12 124101 11 124620 11 125140 10 125660 10 126180 10 126700 9 127220 8 127739 9 128259 8 128779 7 129299 6 129818 7 130338 7 130860 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49958 11 50474 16 50990 20 51507 23 52025 24 52543 26 53061 27 53579 28 54098 28 54617 28 55135 29 55654 29 56172 30 56691 29 57210 29 57729 29 58248 28 58767 27 59286 26 59805 26 60324 25 60843 24 61362 23 61881 23 62400 23 62919 22 63439 20 63958 20 64478 18 64998 16 65518 14 66038 12 66559 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,52395 5 52911 9 53430 10 53948 11 54467 11 54987 11 55505 12 56025 12 56544 12 57063 12 57582 12 58101 13 58620 13 59140 12 59659 12 60178 13 60697 13 61217 12 61736 12 62255 12 62774 12 63294 11 63814 10 64334 8 64856 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,52689 4 53202 13 53718 19 54235 23 54752 26 55270 29 55789 29 56307 32 56826 32 57344 34 57863 35 58382 36 58901 36 59420 36 59939 36 60458 36 60978 35 61497 35 62017 34 62536 34 63056 33 63576 31 64096 29 64616 28 65136 25 65658 21 66179 17 66701 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57275 2 57788 14 58305 18 58823 20 59341 21 59859 23 60377 25 60896 25 61414 26 61933 26 62452 27 62971 26 63490 26 64009 26 64528 26 65048 24 65567 23 66086 22 66605 20 67125 17 67646 13 68168 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,62889 8 63405 14 63922 18 64440 20 64958 22 65477 22 65995 24 66514 24 67032 25 67551 25 68070 26 68588 27 69107 27 69626 27 70145 27 70664 28 71183 28 71702 27 72221 28 72740 28 73259 27 73778 27 74298 26 74817 26 75336 26 75856 24 76375 24 76894 23 77414 22 77933 21 78453 19 78972 19 79492 17 80012 15 80532 13 81053 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63536 8 64053 12 64571 13 65089 15 65608 16 66126 18 66645 18 67163 19 67682 20 68201 20 68720 20 69239 20 69757 21 70276 21 70795 22 71314 22 71833 22 72352 22 72871 22 73390 21 73909 21 74428 21 74947 21 75466 21 75985 21 76504 21 77023 20 77542 20 78061 20 78581 19 79100 18 79619 18 80138 18 80658 17 81178 15 81697 14 82217 13 82737 11 83258 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,66869 5 66883 4 67385 24 67902 28 68420 31 68939 32 69457 34 69976 34 70495 34 71015 33 71534 33 72053 32 72572 32 73092 31 73612 29 74133 26 74653 23 75177 15
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,70924 5 71440 11 71956 16 72473 20 72991 22 73509 24 74026 26 74544 28 75062 29 75580 31 76099 31 76617 32 77136 32 77654 33 78173 33 78691 34 79210 33 79729 33 80247 34 80766 33 81285 33 81804 32 82323 31 82842 30 83361 29 83880 28 84400 26 84919 24 85439 21 85959 19 86479 16 87000 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,75825 7 76344 10 76861 15 77379 17 77898 18 78417 18 78936 18 79455 19 79974 19 80493 19 81012 20 81532 19 82051 19 82570 19 83090 18 83610 18 84131 15 84650 15 85167 16 85685 18 86204 17 86722 18 87241 18 87760 18 88279 17 88798 17 89317 16 89836 16 90355 16 90874 16 91394 14 91913 14 92433 14 92952 15 93471 16 93991 17 94510 17 95030 17 95550 18 96070 19 96589 20 97109 20 97630 19 98149 20 98670 18 99190 18 99710 18 100231 16 100751 16 101271 16 101790 17 102310 16 102830 16 103350 16 103869 17 104389 16 104909 15 105429 13 105950 12 106469 12 106989 11 107509 10 108029 10 108550 10 109071 9 109592 7 110112 7 110633 5 111154 3 111674 5 112194 5 112714 7 113234 7 113754 7 114273 9 114793 9 114804 1 115313 13 115832 13 116353 11 116873 10 117393 10 117913 9 118432 11 118952 10 119472 9 119991 9 120511 8 121030 9 121549 10 122069 10 122589 10 123108 10 123626 12 124145 12 124666 11 125185 11 125705 10 126226 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,79697 9 80214 14 80731 18 81249 21 81768 22 82286 24 82806 24 83324 26 83844 26 84363 26 84882 27 85401 28 85921 27 86441 26 86960 26 87480 25 87999 25 88519 23 89039 21 89560 18 90081 15 90604 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,80916 5 81432 14 81949 18 82467 21 82985 24 83504 25 84023 26 84542 27 85061 29 85580 31 86099 33 86618 34 87137 36 87656 37 88176 37 88695 38 89215 37 89735 37 90255 36 90775 35 91296 33 91815 33 92334 33 92852 33 93370 33 93889 32 94406 25 94434 2 94906 10 94922 27 95424 45 95942 45 96461 45 96980 45 97499 45 98018 45 98538 44 99057 43 99577 42 100098 39 100619 36 101141 31 101663 27 102185 22 102709 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81144 9 81661 13 82178 16 82697 17 83215 19 83734 20 84252 21 84771 21 85290 21 85808 23 86328 22 86847 22 87366 22 87885 22 88404 22 88923 22 89441 23 89949 33 90465 36 90982 37 91499 38 92016 40 92535 38 93053 37 93572 35 94090 35 94609 34 95128 34 95648 33 96167 33 96686 33 97205 33 97725 32 98244 32 98764 30 99283 30 99803 29 100323 27 100843 26 101363 24 101883 22 102404 18 102925 14 103449 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84331 3 84846 12 85363 17 85881 19 86399 22 86917 24 87436 25 87955 25 88474 26 88993 26 89512 27 90031 27 90550 27 91070 26 91589 26 92109 25 92629 23 93149 22 93668 21 94188 20 94709 17 95229 15 95751 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89478 5 89995 9 90512 13 91030 15 91548 18 92067 19 92585 21 93104 21 93622 23 94141 24 94660 25 95179 26 95698 26 96217 27 96736 27 97255 28 97775 27 98294 27 98814 26 99333 26 99853 25 100373 24 100892 24 101412 23 101932 22 102451 21 102971 20 103491 19 104011 17 104532 14 105053 11 105574 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,90180 9 90697 14 91215 16 91733 19 92252 20 92771 20 93289 22 93808 23 94327 23 94846 23 95365 24 95884 23 96403 23 96922 23 97442 22 97961 22 98480 22 98999 22 99519 20 100038 20 100558 19 101078 17 101597 16 102117 14 102637 13 103158 9 103680 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,91376 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,92509 5 93025 12 93542 16 94059 19 94578 20 95096 21 95615 22 96133 23 96652 24 97171 24 97690 25 98209 25 98728 26 99247 26 99767 26 100286 27 100805 27 101325 27 101844 27 102363 27 102883 26 103402 25 103922 24 104441 24 104962 21 105482 20 106003 18 106525 14 107047 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,98986 8 99504 10 100022 11 100541 12 101059 13 101577 14 102096 14 102615 15 103134 16 103652 18 104171 19 104690 19 105209 19 105727 19 106246 19 106765 19 107284 18 107803 18 108322 17 108840 17 109359 17 109878 17 110396 18 110915 17 111434 17 111953 17 112472 16 112991 16 113510 15 114029 14 114548 13 115067 12 115587 10 116108 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,100506 10 101023 14 101541 16 102059 18 102577 20 103096 21 103615 22 104133 23 104652 23 105171 23 105690 23 106209 23 106728 23 107246 24 107765 24 108284 23 108803 23 109322 23 109841 23 110360 22 110879 22 111399 21 111918 20 112438 18 112958 16 113478 14 113998 12 114518 10 115041 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,109437 7 109954 12 110471 16 110988 19 111507 20 112025 22 112543 24 113062 25 113581 26 114100 27 114619 27 115139 27 115659 26 116178 26 116697 26 117217 25 117737 25 118257 24 118777 23 119297 22 119817 21 120338 19 120858 18 121379 16 121900 15 122421 12 122942 9 123464 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112245 14 112761 23 113278 28 113796 31 114315 32 114833 34 115352 34 115870 36 116389 37 116908 37 117427 37 117946 37 118465 37 118984 36 119503 36 120023 35 120542 34 121063 31 121583 29 122104 25 122630 16
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113450 7 113967 11 114484 15 115002 17 115520 19 116038 22 116556 24 117074 26 117593 26 118112 27 118631 28 119150 29 119669 30 120188 31 120707 31 121226 31 121745 31 122265 31 122784 31 123304 30 123824 29 124344 28 124865 25 125386 23 125908 19 126429 16 126949 14 127469 9 127987 2 128505 7 129022 11 129540 15 130058 19 130577 19 131097 17
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113915 6 114432 10 114949 14 115466 16 115984 18 116502 19 117019 21 117536 23 118054 25 118571 27 119088 29 119607 29 120125 30 120642 32 121161 32 121679 33 122198 33 122717 34 123235 37 123754 43 124273 46 124792 47 125311 48 125830 49 126349 50 126869 50 127388 51 127907 51 128427 50 128946 50 129465 51 129984 51 130505 49 131027 45
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,114079 3 114595 9 115112 12 115630 13 116148 14 116666 15 117185 15 117703 16 118221 17 118739 18 119258 18 119776 19 120295 19 120814 18 121332 19 121851 19 122369 19 122888 19 123406 20 123925 20 124444 20 124963 19 125482 19 126001 18 126519 19 127038 18 127557 17 128076 16 128595 15 129114 14 129633 14 130153 12 130674 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116776 4 117295 5 117814 6 118333 6 118852 6 119371 7 119890 7 120409 7 120928 7 121447 8 121966 8 122485 8 123004 8 123523 8 124042 9 124561 9 125080 9 125599 9 126118 9 126637 9 127156 9 127675 8 128194 8 128713 8 129232 8 129751 7 130270 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118364 7 118880 12 119398 14 119916 16 120435 17 120953 18 121472 19 121990 20 122509 21 123028 21 123547 21 124066 22 124585 21 125104 21 125623 21 126142 21 126661 21 127180 21 127700 19 128220 18 128739 17 129258 17 129778 15 130299 11 130822 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,125444 6 125961 11 126479 13 126997 15 127515 16 128034 16 128552 17 129070 18 129587 20 130106 20 130625 20 131145 19
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,126775 1 127292 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,129669 8 130185 16
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,129686 6 130203 9 130726 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,129891 2 130407 6 130927 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,151 19 407 19 663 19 920 18 1177 16 1435 13 1693 10
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,191 22 446 23 702 23 958 23 1214 22 1470 20 1726 20 1983 18 2240 16 2499 12 2758 8
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,769 1 1025 2 1281 2 1537 3 1569 9 1793 3 1823 13 2049 4 2063 1 2065 5 2078 17 2305 5 2319 7 2333 19 2561 5 2571 11 2588 21 2817 6 2826 13 2844 22 3073 6 3081 15 3101 22 3329 6 3336 18 3357 23 3585 6 3593 17 3613 24 3841 6 3850 17 3868 1 3870 23 4097 6 4105 44 4353 6 4360 45 4609 52 4865 52 5121 53 5377 53 5633 53 5889 52 6145 51 6401 50 6657 49 6913 48 7174 42 7430 41 7686 21 7708 1 7710 17 7943 18 8201 14 8459 5 8465 4 8716 2 8721 4 8978 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,2016 9 2270 13 2525 15 2781 16 3036 17 3292 18 3546 20 3802 21 4057 22 4313 22 4569 22 4825 22 5081 22 5338 21 5595 20 5852 18 6109 15 6368 11 6627 6
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,2192 3 2446 8 2701 10 2956 12 3211 13 3467 14 3723 15 3979 17 4235 17 4491 19 4747 19 5003 20 5260 20 5516 22 5772 23 6028 24 6285 23 6542 22 6798 23 7055 22 7312 20 7569 19 7826 18 8087 12 8347 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,4727 5 4981 10 5237 12 5491 16 5747 17 6002 19 6258 20 6514 20 6770 20 7025 21 7281 21 7537 21 7793 21 8049 21 8306 20 8562 20 8819 19 9075 18 9332 17 9588 16 9845 15 10101 13 10361 8 10621 1
