ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10890 9 11145 10 11400 12 11655 14 11910 15 12166 15 12421 15 12677 15 12933 15 13189 15 13445 14 13701 13 13958 11 14214 10 14472 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31376 9 31387 1 31389 2 31631 18 31884 21 32139 22 32394 23 32649 23 32904 21 33160 21 33416 20 33671 20 33927 18 34183 19 34440 16 34696 15 34952 13 35209 11 35468 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38310 1 38562 8 38817 10 39071 12 39327 13 39582 14 39837 15 40093 15 40349 15 40605 15 40861 14 41117 13 41373 13 41630 11 41887 9 42144 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44593 8 44847 12 45102 13 45357 15 45612 16 45868 16 46124 16 46380 16 46636 15 46892 15 47148 13 47406 10 47664 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50028 1 50278 9 50533 12 50788 13 51043 15 51298 16 51554 16 51809 17 52065 17 52321 16 52577 17 52833 16 53089 15 53346 13 53603 11 53861 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50840 7 51095 9 51349 11 51604 13 51859 14 52115 14 52370 14 52626 15 52881 15 53137 15 53392 14 53649 13 53904 12 54161 11 54418 7 54675 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85 10 601 15 1119 16 1639 15 2159 13 2677 14 3193 17 3683 1 3686 4 3713 14 4199 16 4236 3 4715 26 4750 9 5233 32 5266 12 5751 46 6269 41 6311 3 6787 47 7304 50 7823 50 8341 51 8860 53 9379 53 9898 54 10416 55 10934 58 11453 57 11972 60 12491 60 13009 61 13528 62 14047 62 14567 60 15085 62 15604 63 16124 62 16643 62 17161 64 17680 64 18199 64 18718 63 19236 65 19754 66 20273 66 20791 67 21307 70 21820 75 22336 77 22853 78 23370 80 23887 80 24404 80 24922 80 25439 80 25957 80 26475 76 26993 79 27512 78 28030 79 28548 80 29067 82 29584 83 30103 85 30622 85 31141 85 31660 84 32179 85 32698 85 33217 85 33736 83 34255 84 34774 82 35293 83 35812 82 36333 80 36852 79 37372 79 37892 76 38411 76 38932 31 38964 40 39453 70 39974 20 40001 38 40494 19 40522 39 41016 2 41020 3 41044 32 41077 2 41565 33 42086 28 42607 33 43133 2 43136 20 43653 29 44178 26 44696 29 45217 30 45736 32 46254 34 46773 35 47293 33 47811 37 48329 37 48848 38 49366 38 49886 39 50405 38 50924 39 51443 37 51962 38 52481 37 53000 37 53520 35 54039 35 54559 32 55080 30 55601 24 56122 22 56643 17 57167 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,123 68 638 74 1158 73 1676 76 2194 76 2714 77 3233 77 3752 78 4272 76 4790 79 5310 76 5830 77 6352 72 6870 75 7391 71 7911 71 8432 68 8952 29 8982 38 9474 22 9508 30 9995 19 10028 29 10521 2 10549 25 11069 24 11590 22 12110 20 12630 17 13151 13 13678 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,222 37 260 2 739 45 1258 44 1777 45 2295 46 2813 48 3332 48 3851 48 4370 47 4889 48 5408 48 5928 47 6449 43 6968 43 7488 40 8008 41 8526 40 9046 40 9566 37 10085 38 10605 35 11124 37 11643 35 12163 34 12682 32 13202 31 13722 27 14243 23 14763 20 15284 17 15807 9 16330 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,321 30 395 32 836 37 913 35 1355 37 1430 36 1874 38 1950 37 2391 40 2468 37 2910 42 2986 41 3428 43 3505 39 3946 45 4023 41 4464 45 4543 38 4984 46 5061 41 5503 45 5577 42 6022 45 6096 42 6542 42 6619 35 7060 46 7130 1 7133 39 7580 43 7644 45 8099 43 8162 46 8619 41 8678 41 8720 3 9138 42 9194 45 9657 42 9711 38 9753 1 10177 41 10230 37 10696 39 10747 36 11215 41 11257 1 11263 39 11733 43 11780 42 12252 90 12771 88 13289 91 13808 91 14326 92 14846 89 15364 92 15883 93 16402 93 16920 93 17440 95 17546 3 17550 1 17958 95 18056 20 18477 119 18996 122 19515 123 20034 126 20553 126 21071 128 21576 4 21584 135 22087 151 22605 154 22790 4 22799 1 23122 156 23307 13 23324 3 23638 158 23822 30 24155 162 24336 42 24673 77 24753 83 24854 47 25191 73 25274 81 25371 50 25709 71 25795 80 25889 52 26226 72 26318 24 26344 50 26405 57 26745 67 26841 14 26866 46 26924 57 27233 5 27264 46 27312 14 27385 47 27442 60 27748 17 27781 49 27904 48 27959 63 28266 21 28299 51 28423 49 28476 66 28783 27 28816 51 28943 46 28994 68 29301 30 29334 51 29462 120 29818 84 29980 123 30336 87 30500 120 30855 84 31020 44 31069 70 31373 87 31539 46 31586 74 31891 87 32058 41 32102 77 32409 88 32577 42 32621 77 32923 92 33097 39 33145 72 33439 96 33616 40 33663 73 33953 100 34136 36 34183 72 34470 102 34655 36 34703 71 34987 102 35174 33 35222 69 35505 105 35695 30 35740 72 36023 104 36215 26 36260 71 36541 105 36735 25 36779 71 37059 104 37257 19 37298 71 37577 105 37778 15 37818 70 38095 103 38306 1 38337 70 38614 103 38857 69 39132 66 39204 29 39377 66 39652 64 39724 28 39897 67 40170 62 40245 21 40416 67 40689 62 40770 15 40936 66 41207 59 41458 63 41726 60 41978 62 42244 57 42499 60 42764 56 43020 58 43282 39 43323 2 43328 1 43550 47 43801 42 44067 49 44321 37 44594 41 44840 38 45114 40 45359 35 45635 38 45879 33 46156 36 46398 30 46678 33 46918 29 47196 34 47439 23 47717 32 47959 23 48235 33 48480 17 48753 34 49001 14 49271 35 49790 35 50308 36 50826 37 51345 37 51863 38 52382 38 52901 38 53420 38 53938 39 54457 39 54976 13 54991 1 54994 21 55495 13 55510 1 55514 20 56014 13 56038 15 56532 14 56555 17 57052 13 57076 15 57571 13 57593 17 58090 13 58115 14 58609 13 58633 15 59128 13 59152 15 59648 12 59670 16 60166 15 60191 14 60686 15 60708 16 61205 15 61227 16 61724 15 61743 1 61745 17 62243 16 62261 20 62763 37 63282 37 63802 36 64322 35 64841 35 65361 34 65880 34 66401 32 66922 30 67442 29 67963 25 68485 22 69006 20 69528 14
